Archive ID,Title,Volume,Image Count,SI Libraries URL,BHL URL,Internet Archive URL
smithsonianyears1990smit,Smithsonian year ... supplement : chronology and appendices,1990,446,https://library.si.edu/digital-library/book/smithsonianyears1990smit,http://www.biodiversitylibrary.org/ia/smithsonianyears1990smit,https://archive.org/details/smithsonianyears1990smit
annualreportofbo1963smit,Annual report of the Board of Regents of the Smithsonian Institution,1963,726,https://library.si.edu/digital-library/book/annualreportofbo1963smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1963smit,https://archive.org/details/annualreportofbo1963smit
annualreportofbo1915smitfo,Annual report of the Board of Regents of the Smithsonian Institution,1915,704,https://library.si.edu/digital-library/book/annualreportofbo1915smitfo,http://www.biodiversitylibrary.org/ia/annualreportofbo1915smitfo,https://archive.org/details/annualreportofbo1915smitfo
statementbysecre1979smit,Statement by the Secretary,1979,78,https://library.si.edu/digital-library/book/statementbysecre1979smit,http://www.biodiversitylibrary.org/ia/statementbysecre1979smit,https://archive.org/details/statementbysecre1979smit
annualreportofbo1905smit,Annual report of the Board of Regents of the Smithsonian Institution,1905 [Includes Report USNM],152,https://library.si.edu/digital-library/book/annualreportofbo1905smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1905smit,https://archive.org/details/annualreportofbo1905smit
smithsonianyeara9197smit,Smithsonian year : annual report of the Smithsonian Institution for the year ended Sept. 30 ..,1991-97,748,https://library.si.edu/digital-library/book/smithsonianyeara9197smit,http://www.biodiversitylibrary.org/ia/smithsonianyeara9197smit,https://archive.org/details/smithsonianyeara9197smit
smithsonianyear1969smit,Smithsonian year,1969,736,https://library.si.edu/digital-library/book/smithsonianyear1969smit,http://www.biodiversitylibrary.org/ia/smithsonianyear1969smit,https://archive.org/details/smithsonianyear1969smit
annualreportofbo1952smit,Annual report of the Board of Regents of the Smithsonian Institution,1952,534,https://library.si.edu/digital-library/book/annualreportofbo1952smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1952smit,https://archive.org/details/annualreportofbo1952smit
annualreportofbo1882smith,Annual report of the Board of Regents of the Smithsonian Institution,1882,896,https://library.si.edu/digital-library/book/annualreportofbo1882smith,http://www.biodiversitylibrary.org/ia/annualreportofbo1882smith,https://archive.org/details/annualreportofbo1882smith
annualreportofbo1866smit,Annual report of the Board of Regents of the Smithsonian Institution,1866,494,https://library.si.edu/digital-library/book/annualreportofbo1866smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1866smit,https://archive.org/details/annualreportofbo1866smit
annualreportofbo1917smithso,Annual report of the Board of Regents of the Smithsonian Institution,1917,966,https://library.si.edu/digital-library/book/annualreportofbo1917smithso,http://www.biodiversitylibrary.org/ia/annualreportofbo1917smithso,https://archive.org/details/annualreportofbo1917smithso
smithsonianyears1989smit,Smithsonian year ... supplement : chronology and appendices,1989,450,https://library.si.edu/digital-library/book/smithsonianyears1989smit,http://www.biodiversitylibrary.org/ia/smithsonianyears1989smit,https://archive.org/details/smithsonianyears1989smit
smithsonianyeara1982smit,Smithsonian year : annual report of the Smithsonian Institution for the year ended Sept. 30 ..,1982,656,https://library.si.edu/digital-library/book/smithsonianyeara1982smit,http://www.biodiversitylibrary.org/ia/smithsonianyeara1982smit,https://archive.org/details/smithsonianyeara1982smit
annualreportofbo1934smit,Annual report of the Board of Regents of the Smithsonian Institution,1934,560,https://library.si.edu/digital-library/book/annualreportofbo1934smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1934smit,https://archive.org/details/annualreportofbo1934smit
annualreportofbo1882smit,Annual report of the Board of Regents of the Smithsonian Institution,1882,892,https://library.si.edu/digital-library/book/annualreportofbo1882smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1882smit,https://archive.org/details/annualreportofbo1882smit
annualreportofbo1928smit,Annual report of the Board of Regents of the Smithsonian Institution,1928,948,https://library.si.edu/digital-library/book/annualreportofbo1928smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1928smit,https://archive.org/details/annualreportofbo1928smit
annualreportofbo1892smith,Annual report of the Board of Regents of the Smithsonian Institution,1892 [Includes Report USNM],876,https://library.si.edu/digital-library/book/annualreportofbo1892smith,http://www.biodiversitylibrary.org/ia/annualreportofbo1892smith,https://archive.org/details/annualreportofbo1892smith
statementbysecre1984smit,Statement by the Secretary,1984,86,https://library.si.edu/digital-library/book/statementbysecre1984smit,http://www.biodiversitylibrary.org/ia/statementbysecre1984smit,https://archive.org/details/statementbysecre1984smit
annualreportofb1890smit,Annual report of the Board of Regents of the Smithsonian Institution,1890 [Includes Report USNM],1222,https://library.si.edu/digital-library/book/annualreportofb1890smit,http://www.biodiversitylibrary.org/ia/annualreportofb1890smit,https://archive.org/details/annualreportofb1890smit
annualreportofbo1902smith,Annual report of the Board of Regents of the Smithsonian Institution,1902 [Includes Report USNM],1362,https://library.si.edu/digital-library/book/annualreportofbo1902smith,http://www.biodiversitylibrary.org/ia/annualreportofbo1902smith,https://archive.org/details/annualreportofbo1902smith
annualreportofbo1917smitfo,Annual report of the Board of Regents of the Smithsonian Institution,1917,964,https://library.si.edu/digital-library/book/annualreportofbo1917smitfo,http://www.biodiversitylibrary.org/ia/annualreportofbo1917smitfo,https://archive.org/details/annualreportofbo1917smitfo
annualreportofbo1900smit,Annual report of the Board of Regents of the Smithsonian Institution,1900 [Includes Report USNM],1020,https://library.si.edu/digital-library/book/annualreportofbo1900smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1900smit,https://archive.org/details/annualreportofbo1900smit
smithsonianyear1976smit,Smithsonian year,1976,556,https://library.si.edu/digital-library/book/smithsonianyear1976smit,http://www.biodiversitylibrary.org/ia/smithsonianyear1976smit,https://archive.org/details/smithsonianyear1976smit
annualreportofbo1860smit,Annual report of the Board of Regents of the Smithsonian Institution,1860,462,https://library.si.edu/digital-library/book/annualreportofbo1860smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1860smit,https://archive.org/details/annualreportofbo1860smit
annualreportofbo18842smit,Annual report of the Board of Regents of the Smithsonian Institution,1884:pt.2 [Includes Report USNM],704,https://library.si.edu/digital-library/book/annualreportofbo18842smit,http://www.biodiversitylibrary.org/ia/annualreportofbo18842smit,https://archive.org/details/annualreportofbo18842smit
