,Archive ID,Title,Volume,Image Count,SI Libraries URL,BHL URL,Internet Archive URL,BHL Link URL
67,annualreportofbo1898smit,Annual report of the Board of Regents of the Smithsonian Institution,1898 [Includes Report USNM],1402,https://library.si.edu/digital-library/book/annualreportofbo1898smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1898smit,https://archive.org/details/annualreportofbo1898smit,https://www.biodiversitylibrary.org/itempdf/33493
68,annualreportofbo1889smith,Annual report of the Board of Regents of the Smithsonian Institution,1889 [Includes Report USNM],1246,https://library.si.edu/digital-library/book/annualreportofbo1889smith,http://www.biodiversitylibrary.org/ia/annualreportofbo1889smith,https://archive.org/details/annualreportofbo1889smith,https://www.biodiversitylibrary.org/itempdf/35914
69,nationalmuseumof00yoch,The National Museum of Natural History : 75 years in the Natural History Building,,230,https://library.si.edu/digital-library/book/nationalmuseumof00yoch,http://www.biodiversitylibrary.org/ia/nationalmuseumof00yoch,https://archive.org/details/nationalmuseumof00yoch,https://www.biodiversitylibrary.org/itempdf/13858
70,annualreportofb1896smit,Annual report of the Board of Regents of the Smithsonian Institution,1896,934,https://library.si.edu/digital-library/book/annualreportofb1896smit,http://www.biodiversitylibrary.org/ia/annualreportofb1896smit,https://archive.org/details/annualreportofb1896smit,https://www.biodiversitylibrary.org/itempdf/12152
71,annualreportofbo1904smith,Annual report of the Board of Regents of the Smithsonian Institution,1904 [Includes Report USNM],948,https://library.si.edu/digital-library/book/annualreportofbo1904smith,http://www.biodiversitylibrary.org/ia/annualreportofbo1904smith,https://archive.org/details/annualreportofbo1904smith,https://www.biodiversitylibrary.org/itempdf/93717
72,statementbysecre1982smit,Statement by the Secretary,1982,82,https://library.si.edu/digital-library/book/statementbysecre1982smit,http://www.biodiversitylibrary.org/ia/statementbysecre1982smit,https://archive.org/details/statementbysecre1982smit,https://www.biodiversitylibrary.org/itempdf/10761
73,annualreportofbo1960smit,Annual report of the Board of Regents of the Smithsonian Institution,1960,738,https://library.si.edu/digital-library/book/annualreportofbo1960smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1960smit,https://archive.org/details/annualreportofbo1960smit,https://www.biodiversitylibrary.org/itempdf/35563
74,annualreportofbo1884smit,Annual report of the Board of Regents of the Smithsonian Institution,1884,960,https://library.si.edu/digital-library/book/annualreportofbo1884smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1884smit,https://archive.org/details/annualreportofbo1884smit,https://www.biodiversitylibrary.org/itempdf/33421
75,annualreportofbo1906smit,Annual report of the Board of Regents of the Smithsonian Institution,1906 [Includes Report USNM],141,https://library.si.edu/digital-library/book/annualreportofbo1906smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1906smit,https://archive.org/details/annualreportofbo1906smit,https://www.biodiversitylibrary.org/itempdf/33345
76,annualreportofbo1948smit,Annual report of the Board of Regents of the Smithsonian Institution,1948,598,https://library.si.edu/digital-library/book/annualreportofbo1948smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1948smit,https://archive.org/details/annualreportofbo1948smit,https://www.biodiversitylibrary.org/itempdf/53498
